ID,Output
87,"friendly_staff, no_evident_not_friendly_staff"
88,"friendly_staff, lovely_staff, no_evident_not_friendly_staff, no_evident_not_lovely_staff"
91,"helpful_staff, friendly_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff"
94,"amazing_staff, no_evident_not_amazing_staff"
96,"nice_staff, no_evident_not_nice_staff"
97,"excellent_service, no_evident_not_excellent_service"
99,"wonderful_staff, no_evident_not_wonderful_staff"
100,"exceptional_staff, polite_staff, no_evident_not_exceptional_staff, no_evident_not_polite_staff"
101,"hospitable_staff, helpful_staff, no_evident_not_hospitable_staff, no_evident_not_helpful_staff"
102,"friendly_staff, no_evident_not_friendly_staff"
105,"nice_staff, no_evident_not_nice_staff"
106,"staff_need_learn_better_English, have_evident_staff_need_learn_better_English"
109,"helpful_staff, no_evident_not_helpful_staff"
113,"excellent_staff, accommodating_staff, no_evident_not_excellent_staff, no_evident_not_accommodating_staff"
114,"staff_email_me, staff_tell_me_bus_routes, no_evident_not_staff_email_me, no_evident_not_staff_tell_me_bus_routes"
115,"helpful_stuff, nice_stuff, no_evident_not_helpful_stuff, no_evident_not_nice_stuff"
118,"perfect_front_desk, 10_10_front_desk, no_evident_not_perfect_front_desk, no_evident_not_10_10_front_desk"
119,"fantastic_service, friendly_staff, kind_staff, helpful_staff, accommodated_specific_needs, no_evident_not_fantastic_service, no_evident_not_friendly_staff, no_evident_not_kinder_staff, no_evident_not_helpful_staff, no_evident_not_accommodated_specific_needs"
120,"helpful_staff, no_evident_not_helpful_staff"
122,"friendly_staff, no_evident_not_friendly_staff"
123,"friendly_front_desk, helpful_front_desk, no_evident_not_friendly_front_desk, no_evident_not_helpful_front_desk"
124,"friendly_staff, no_evident_not_friendly_staff"
126,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
129,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
131,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
132,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
133,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
134,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
135,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
137,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
138,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
141,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
142,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
145,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
146,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
147,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
149,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
153,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
154,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
158,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
159,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
162,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
164,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
165,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
167,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
169,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
171,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
172,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
173,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
177,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
180,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
181,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
182,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
183,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
185,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
186,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
192,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
193,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
194,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
195,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
198,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
199,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
202,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
203,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
204,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
206,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
207,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
209,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
210,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
211,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
212,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
214,"[ERROR] ReadTimeout: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
206,good_staff,"welcoming_owners, no_evident_not_welcoming_owners"
207,good_staff,"wonderful_staff, makes_difference_staff, no_evident_not_wonderful_staff, no_evident_not_makes_difference_staff"
209,good_staff,"friendly_people, no_evident_not_friendly_people"
210,good_staff,"friendly_staff, no_evident_not_friendly_staff"
211,good_staff,"friendly_staff, helpful_staff, staff_exceeded_expectations, no_evident_not_friendly_staff, no_evident_not_helpful_staff, no_evident_not_staff_exceeded_expectations"
212,good_staff,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
214,good_staff,"organised_taxi, no_evident_not_organised_taxi"
221,good_staff,"aware_owner, offered_food_and_drink, friendly_staff, welcoming_staff, especially_welcoming_restaurant_owner, no_evident_not_aware_owner, no_evident_not_offered_food_and_drink, no_evident_not_friendly_staff, no_evident_not_welcoming_staff, no_evident_especially_welcoming_restaurant_owner"
223,good_staff,"helpful_indications, no_evident_not_helpful_indications"
224,good_staff,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
226,good_staff,"excellent_staff, family_driven_hotel, very_helpful, pleasant_people, speak_perfect_english, couldn_t_have_been_better, booking_process_good, online_dialog_good, taxi_to_airport_good, no_evident_not_excellent_staff, no_evident_not_family_driven_hotel, no_evident_not_very_helpful, no_evident_not_pleasant_people, no_evident_not_speak_perfect_english, no_evident_not_couldn_t_have_been_better, no_evident_not_booking_process_good, no_evident_not_online_dialog_good, no_evident_not_taxi_to_airport_good"
227,good_staff,"kind_hosts, late_check_in_simple, no_evident_not_kind_hosts, no_evident_not_late_check_in_simple"
228,good_staff,"high_level_hospitality, feel_at_home, welcomed_with_a_big_smile, no_evident_not_high_level_hospitality, no_evident_not_feel_at_home, no_evident_not_welcomed_with_a_big_smile"
229,good_staff,"friendly_service, superb_attention_and_service, exception_in_hotel_and_restaurant, no_evident_not_friendly_service, no_evident_not_superb_attention_and_service, no_evident_not_exception_in_hotel_and_restaurant"
231,good_staff,"friendly_staff, no_evident_not_friendly_staff"
235,good_staff,"welcoming_staff, no_evident_not_welcoming_staff"
240,good_staff,"warm_welcome, comfortable_stay, reachable_manager, informative_service, reassuring_service, 5_star_service, no_evident_not_warm_welcome, no_evident_not_comfortable_stay, no_evident_not_reachable_manager, no_evident_not_informative_service, no_evident_not_reassuring_service, no_evident_not_5_star_service"
241,good_staff,"friendly_staff, lend_adaptor_staff, no_evident_not_friendly_staff, no_evident_not_lend_adaptor_staff"
242,good_staff,"accommodating_staff, kind_staff, no_evident_not_accommodating_staff, no_evident_not_kind_staff"
245,good_staff,"great_staff, welcoming_staff, no_evident_not_great_staff, no_evident_not_welcoming_staff"
246,good_staff,"friendly_owners, helpful_owners, no_evident_not_friendly_owners, no_evident_not_helpful_owners"
248,good_staff,"kind_staff, professional_staff, polite_staff, helpful_staff, no_evident_not_kind_staff, no_evident_not_professional_staff, no_evident_not_polite_staff, no_evident_not_helpful_staff"
250,good_staff,"friendly_family, nice_family, no_evident_not_friend_family, no_evident_not_very_nice_family"
251,good_staff,"friendly_staff, no_evident_not_friendly_staff"
252,good_staff,"friendly_staff, no_evident_not_friendly_staff"
254,good_staff,"helpful_family, no_evident_not_helpful_family"
255,good_staff,"friendly_staff, attentive_staff, no_evident_not_friendly_staff, no_evident_not_attentive_staff"
257,good_staff,"lovely_staff, no_evident_not_lovely_staff"
258,good_staff,"wonderful_staff, no_evident_not_wonderful_staff"
259,good_staff,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
260,good_staff,"friendly_staff, no_evident_not_friendly_staff"
262,good_staff,"great_staff, attentive_staff, helpful_staff, show_us_room_with_balcony, arrange_car_for_us, no_evident_not_great_staff, no_evident_not_attentive_staff, no_evident_not_helpful_staff, no_evident_not_show_us_room_with_balcony, no_evident_not_arrange_car_for_us"
264,good_staff,"friendly_staff, no_evident_not_friendly_staff"
265,good_staff,"warm_welcome, no_evident_not_warm_welcome"
266,good_staff,"nice_crew, no_evident_not_nice_crew"
267,good_staff,"helpful_staff,staff_arranged_taxi, no_evident_not_helpful_staff, no_evident_not_staff_arranged_taxi"
268,good_staff,"extremely_helpful_staff, extremely_friendly_staff, no_evident_not_extremely_helpful_staff, no_evident_not_extremely_friendly_staff"
269,good_staff,"friendly_staff, no_evident_not_friendly_staff"
270,good_staff,"helpful_staff, no_evident_not_helpful_staff"
272,good_staff,"nice_staff, no_evident_not_nice_staff"
274,good_staff,"every_staff_member_delightful, every_staff_member_eager_to_help, valet_delightful, valet_eager_to_help, check_in_delightful, check_in_eager_to_help, cleaning_staff_delightful, cleaning_staff_eager_to_help, no_evident_not_every_staff_member_delightful, no_evident_not_every_staff_member_eager_to_help, no_evident_not_valet_delightful, no_evident_not_valet_eager_to_help, no_evident_not_check_in_delightful, no_evidient_not_check_in_eager_to_help, no_evident_not_cleaning_staff_delightful, no_evident_not_cleaning_staff_eager_to_help"
275,good_staff,"amazing_staff, went_over_and_beyond_to_help, made_my_stay_enjoyable, no_evident_not_amazing_staff, no_evident_not_went_over_and_beyond_to_help, no_evident_not_made_my_stay_enjoyable"
276,good_staff,"friendly_staff,early_check_in_staff, no_evident_not_friendly_staff, no_evident_not_early_check_in_staff"
277,good_staff,"helpful_staff, exceptional_staff, no_evident_not_helpful_staff, no_evident_not_exceptional_staff"
278,good_staff,"wonderful_staff, friendly_staff, welcoming_staff, no_evident_not_wonderful_staff, no_evident_not_friendly_staff, no_evident_not_welcoming_staff"
281,good_staff,"welcoming_staff, helpful_staff, print_flight_documentation, book_taxis, handle_flight_cancellation, no_evident_not_welcoming_staff, no_evident_not_helpful_staff, no_evident_not_print_flight_documentation, no_evident_not_book_taxis, no_evident_not_handle_flight_cancellation"
282,good_staff,"helpful_staff, friendly_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff"
283,good_staff,"friendly_staff, responsive_staff,pre_arrival_questions_handled, no_evident_not_friendly_staff, no_evident_not_responsive_staff, no_evident_not_pre_arrival_questions_handled"
284,good_staff,"excellent_staff, no_evident_not_excellent_staff"
288,good_staff,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
290,good_staff,"happy_staff, staff_above_and_beyond, staff_help_with_covid_restrictions, staff_close_to_airport, no_evident_not_happy_staff, no_evident_not_staff_above_and_beyond, no_evident_not_staff_help_with_covid_restrictions, no_evident_not_staff_close_to_airport"
291,good_staff,"friendly_staff, no_evident_not_friendly_staff"
293,good_staff,"helpful_staff, friendly_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff"
295,good_staff,"polite_staff, helpful_staff, kind_hosts, smiling_hosts, no_evident_not_polite_staff, no_evident_not_helpful_staff, no_evident_not_kind_hosts, no_evident_not_smiling_hosts"
298,good_staff,"nice_staff, no_evident_not_nice_staff"
299,good_staff,"welcoming_staff, friendly_staff, no_evident_not_welcoming_staff, no_evident_not_friendly_staff"
300,good_staff,"helpful_staff, friendly_staff, welcoming_staff,staff_made_stay_feel_like_home, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_welcoming_staff, no_evident_not_staff_made_stay_feel_like_home"
301,good_staff,"make_you_feel_at_home_staff, no_evident_not_make_you_feel_at_home_staff"
303,good_staff,"welcoming_couple, helpful_couple, happy_to_help_couple, couple_welcoming_any_situation_or_question, no_evident_not_welcoming_couple, no_evident_not_helpful_couple, no_evident_not_happy_to_help_couple, no_evident_not_couple_welcoming_any_situation_or_question"
304,good_staff,"nice_staff, gave_recommendations_staff, gave_recommendations_on_places_to_visit_staff, gave_recommendations_on_how_to_roam_around_staff, no_evident_not_nice_staff, no_evident_not_gave_recommendations_staff, no_evident_not_gave_recommendations_on_places_to_visit_staff, no_evident_not_gave_recommendations_on_how_to_roam_around_staff"
305,good_staff,"accommodating_staff, easy_to_deal_with_staff, go_above_and_beyond_to_help_us_out_staff, no_evident_not_accommodating_staff, no_evident_not_easy_to_deal_with_staff, no_evident_not_go_above_and_beyond_to_help_us_out_staff"
306,good_staff,"excellent_stuff, no_evident_not_excellent_stuff"
307,good_staff,"arranged_taxi_to_airport, cost_15_euro, no_evident_arranged_taxi_to_airport, no_evident_cost_15_euro"
308,good_staff,"wonderful_reception_staff, smiling_reception_staff, helpful_reception_staff, smiling_restaurant_staff, helpful_restaurant_staff, no_evident_not_wonderful_reception_staff, no_evident_not_smiling_reception_staff, no_evident_not_helpful_reception_staff, no_evident_not_smiling_restaurant_staff, no_evident_not_helpful_restaurant_staff"
309,good_staff,"fantastic_management, fantastic_staff, husband_and_wife_management, no_evident_not_fantastic_management, no_evident_not_fantastic_staff, no_evident_not_husband_and_wife_management"
311,good_staff,"welcoming_staff, helpful_staff, quick_response_staff, bring_them_staff, no_evident_not_welcoming_staff, no_evident_not_helpful_staff, no_evident_not_quick_response_staff, no_evident_not Bring_them_staff"
312,good_staff,"kind_staff, helpful_staff, flexible_staff, strange_schedule_staff, no_evident_not_kind_staff, no_evident_not_helpful_staff, no_evident_not.flexible_staff, no_evident_not_strange_schedule_staff"
313,good_staff,"friendly_staff, no_evident_not_friendly_staff"
315,good_staff,"friendly_staff, no_evident_not_friendly_staff"
316,good_staff,"accommodating_staff, welcoming_staff, no_evident_not_accommodating_staff, no_evident_not_welcoming_staff"
318,good_staff,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
319,good_staff,"waiting_receptionist, late_opening_receptionist, no_evident_waiting_receptionist, no_evident_late_opening_receptionist"
322,good_staff,"room_ready_early, room_ready, no_evident_room_ready_early, no_evident_room_ready"
323,good_staff,"nice_staff, welcoming_staff, no_evident_not_nice_staff, no_evident_not_welcoming_staff"
324,good_staff,"helpful_staff, no_evident_not_helpful_staff"
327,good_staff,"kind_host, helpful_host, smiling_host, energetic_host, hospitable_host, ensures_great_stay_host, no_evident_not_kind_host, no_evident_not_helpful_host, no_evident_not_smiling_host, no_evident_not_energetic_host, no_evident_not_hospitable_host, no_evident_not_ensures_great_stay_host"
330,good_staff,"exceptional_staff, customer_centric_staff, kind_staff, no_evident_not_exceptional_staff, no_evident_not_customer_centric_staff, no_evident_not_kind_staff"
331,good_staff,"welcoming_staff, no_evident_not_welcoming_staff"
332,good_staff,"nice_staff, helped_book_taxi, good_price_taxi, better_than_online_price, no_evident_not_nice_staff, no_evident_not_helped_book_taxi, no_evident_not_good_price_taxi, no_evident_not_better_than_online_price"
334,good_staff,"friendly_staff, helpful_staff,staff_and_owners_very_friendly,staff_and_owners_very_helpful, no_evident_not_friendly_staff, no_evident_not_helpful_staff, no_evident_not_staff_and_owners_very_friendly, no_evident_not_staff_and_owners_very_helpful"
335,good_staff,"friendly, no_evident_not_friendly"
336,good_staff,"exceptional_staff, helpful_staff, friendly_staff, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff"
337,good_staff,"excellent_owners, no_evident_not_excellent_owners"
338,good_staff,"friendly_family, welcoming_family, free_room_upgrade, no_evident_not_friendly_family, no_evident_not_welcoming_family, no_evident_not_free_room_upgrade"
339,good_staff,"great_staff, pleasant_hosts, no_evident_not_great_staff, no_evident_not_pleasant_hosts"
341,good_staff,"lovely_owners, ensured_needs_owners, no_evident_not_lovely_owners, no_evident_not_ensured_needs_owners"
342,good_staff,"friendly_people_work_at_La_Veranda, helped_in_any_possible_way, no_evident_not_friendly_people_work_at_La_Veranda, no_evident_not_helped_in_any_possible_way"
343,good_staff,"great_staff, friendly_staff, welcoming_staff, owner_took_personally_to_room, prime_parking_spot_given, owner_introduced_us_to_daughter, daughter_super_nice_and_helpful, no_evident_not_great_staff, no_evident_not_friendly_staff, no_evident_not_welcoming_staff, no_evident_not_owner_took_personally_to_room, no_evident_not_prime_parking_spot_given, no_evident_not_owner_introduced_us_to_daughter, no_evident_not_daughter_super_nice_and_helpful"
344,good_staff,"good_staff, helpful_staff, no_evident_not_good_staff, no_evident_not_helpful_staff"
346,good_staff,"good_communication, no_evident_not_good_communication"
347,good_staff,"exceptional_staff, friendly_staff, keen_to_please_staff, no_evident_not_exceptional_staff, no_evident_not_friendly_staff, no_evident_not_keen_to_please_staff"
348,good_staff,"welcoming_staff, welcoming_owners, no_evident_not_welcoming_staff, no_evident_not_welcoming_owners"
349,good_staff,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
350,good_staff,"lovely_staff, helpful_staff, no_evident_not_lovely_staff, no_evident_not_helpful_staff"
353,good_staff,"friendly_staff, no_evident_not_friendly_staff"
353,bad_staff,"staff_needs_improve_organisation_collaboration, have_evident_staff_needs_improve_organisation_collaboration"
354,good_staff,"nice_staff, no_evident_not_nice_staff"
356,good_staff,"brilliant_communication, friendly_staff, polite_staff, staff_always_willing_to_help, make_stay_enjoyable, no_evident_not_brilliant_communication, no_evident_not_friendly_staff, no_evident_not_polite_staff, no_evident_not_staff_always_willing_to_help, no_evident_not_make_stay_enjoyable"
357,good_staff,"friendly_staff, no_evident_not_friendly_staff"
362,good_staff,"excellent_service, kind_staff, helpful_staff, no_evident_not_excellent_service, no_evident_not_kind_staff, no_evident_not_helpful_staff"
363,good_staff,"attentive_staff, pleasant_stay, great_hospitality, no_evident_not_attentive_staff, no_evident_not_pleasant_stay, no_evident_not_great_hospitality"
364,good_staff,"friendly_hosts, accommodating_hosts, no_evident_not_friendly_hosts, no_evident_not_accommodating_hosts"
367,good_staff,"friendly_staff, no_evident_not_friendly_staff"
371,good_staff,"best_staff, no_evident_not_best_staff"
372,good_staff,"helpful_staff, no_evident_not_helpful_staff"
373,good_staff,"wonderful_staff, no_evident_not_wonderful_staff"
375,good_staff,"helpful_staff, friendly_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff"
377,good_staff,"polite_staff, helpful_staff, no_evident_not_polite_staff, no_evident_not_helpful_staff"
378,good_staff,"friendly_staff, not_friendly_staff"
379,good_staff,"pleased_by_staff, helped_with_taxi, no_evident_not_pleased_by_staff, no_evident_not_helped_with_taxi"
380,good_staff,"nice_staff, helpful_staff, go_extra_mile_for_satisfaction_staff, satisfied_with_service_staff, no_evident_not_nice_staff, no_evident_not_helpful_staff, no_evident_not_go_extra_mile_for_satisfaction_staff, no_evident_not_satisfied_with_service_staff"
381,good_staff,"friendly_staff, no_evident_not_friendly_staff"
382,good_staff,"facilitated_shuttle_service, additional_cost_based_on_request, responsive_Maha, reachable_via_whatsapp, accommodated_needs_for_stay, no_evident_not_facilitated_shuttle_service, no_evident_not_additional_cost_based_on_request, no_evident_notResponsive_Maha, no_evident_not_reachable_via_whatsapp, no_evident_not_accommodated_needs_for_stay"
383,good_staff,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
384,good_staff,"great_staff, great_management, no_evident_not_great_staff, no_evident_not_great_management"
